Champ1,Champ2,Champ3,Champ4,Champ5,Champ6
Jax,Chogath,Lux,Diana,Aphelios,Sylas
Yasuo,Yorick,Senna,Bard,Naut,Lissandra
Garen,Lux,Aphelios,Ornn,Irelia
Janna,Shen,Tristana,Yone,Syndra,Naut
Yasuo,Sivir,Yorick,TahmKench,Kayn,Azir
Darius,Soraka,Bard,Galio,Lissandra
Kobuko,Volibear,Soraka,Bard,Lissandra
Kobuko,Darius,Zyra,Soraka,Lillia,Syndra
Jax,Yorick,Qiyana,TahmKench,Azir
Jax,Teemo,Thresh,Diana,Alune,Ashe
Reksai,Lux,Thresh,Diana,Kaisa,Annie
Reksai,Sivir,Volibear,Amumu,Morgana,Hwei
Shen,Janna,Yone,Galio,Kaisa
Shen,Gnar,Diana,Bard,Irelia
Garen,Alune,Tristana,Morgana,Kaisa
Khazix,Yasuo,Bard,Amumu,Diana,Ornn
Senna,Zyra,Thresh,Annie,Sylas
Senna,Soraka,TahmKench,Ornn,Kayn
Senna,Tristana,Yone,Galio,Morgana,Lillia
Teemo,Lux,Thresh,Volibear,Morgana,Galio
Jax,Yorick,Teemo,Syndra,LeeSin
Yasuo,Malphite,Teemo,Ashe,Azir
Caitlyn,Chogath,Alune,LeeSin,Galio
Kobuko,Qiyana,Thresh,Alune,Amumu,Kaisa
Garen,Janna,Yorick,Tristana,Morgana
Chogath,Gnar,Zyra,Soraka,Annie
Garen,Darius,Aphelios,TahmKench,Kayn
Yasuo,Reksai,Soraka,Yone,Hwei
Reksai,Qiyana,Teemo,Aphelios,Alune,Nautilus
Sivir,Janna,Shen,Tristana,Sylas
Khazix,Gnar,Janna,TahmKench,Kaisa
Ahri,Gnar,Qiyana,Bard,Ashe
Malphite,Senna,Amumu,LeeSin,Sylas,Kayn
Reksai,Yorick,Senna,Amumu,Syndra
Caitlyn,Yorick,Teemo,Volibear,Syndra
Sivir,Lux,TahmKench,Aphelios,Morgana
Alune,Soraka,Aphelios,Bard,Tristana,Diana
Chogath,Ahri,Soraka,Amumu,Leesin
Ahri,Caitlyn,Darius,Kobuko,Malphite,Garen
Sivir,Shen,Janna,Volibear,Nautilus
Darius,Zyra,Bard,Ornn,Lissandra
Gnar,Janna,Lux,Qiyana,Zyra,Senna
Sivir,Shen,Yone,Ashe,Hwei
Khazix,Garen,Tristana,Lillia,Kayn,Galio
Caitlyn,Thresh,Diana,Kaisa,Irelia
Malphite,Reksai,Aphelios,Nautilus,Lissandra
Khazix,Gnar,Lux,Aphelios,Annie
Ahri,Qiyana,Zyra,Yone,Ornn,Hwei
Reksai,Shen,Lux,Diana,Lillia,Irelia
Khazix,Shen,Aphelios,Sylas,Nautilus,Azir
Gnar,Janna,Zyra,Bard,Sylas
Chogath,Zyra,Yone,Annie,Ashe
Shen,Qiyana,Aphelios,Lillia,Galio
Ahri,Reksai,Soraka,Alune,Hwei,Irelia
Yasuo,Sivir,Malphite,Janna,Lux
Darius,Khazix,Shen,Teemo,Nautilus,Azir
Garen,Yorick,Volibear,Diana,Lissandra
Jax,Thresh,TahmKench,Tristana,Kayn
Kobuko,Senna,Amumu,LeeSin,Hwei
Caitlyn,Yorick,Tristana,Syndra,Nautilus
