Name,Trait1,Trait2,Trait3
Ahri,Fated,Arcanist
Caitlyn,Ghostly,Sniper
Chogath,Mythic,Behemoth
Darius,Umbral,Duelist
Garen,Storyweaver,Warden
Jax,Inkshadow,Warden
Khazix,Heavenly,Reaper
Kobuko,Fortune,Bruiser
KogMaw,Mythic,Invoker,Sniper
Malphite,Heavenly,Behemoth
RekSai,Dryad,Bruiser
Sivir,Storyweaver,Trickshot
Yasuo,Fated,Duelist
Aatrox,Ghostly,Inkshadow,Bruiser
Gnar,Dryad,Warden
Janna,Dragonlord,Invoker
Kindred,Dryad,Fated,Reaper
Lux,Porcelain,Arcanist
Neeko,Heavenly,Mythic,Arcanist
Qiyana,Heavenly,Duelist
Riven,Storyweaver,Altruist,Bruiser
Senna,Inkshadow,Sniper
Shen,Ghostly,Behemoth
Teemo,Fortune,Trickshot
Yorick,Umbral,Behemoth
Zyra,Storyweaver,Sage
Alune,Umbral,Invoker
Amumu,Porcelain,Warden
Aphelios,Fated,Sniper
Bard,Mythic,Trickshot
Diana,Dragonlord,Sage
Illaoi,Ghostly,Arcanist,Warden
Soraka,Heavenly,Altruist
Tahm Kench,Mythic,Bruiser
Thresh,Fated,Behemoth
Tristana,Fortune,Duelist
Volibear,Inkshadow,Duelist
Yone,Umbral,Reaper
Zoe,Fortune,Storyweaver,Arcanist
Annie,Fortune,Invoker
Ashe,Porcelain,Sniper
Galio,Storyweaver,Bruiser
Kaisa,Inkshadow,Trickshot
Kayn,Ghostly,Reaper
Lee Sin,Dragonlord,Duelist
Lillia,Mythic,Invoker
Morgana,Ghostly,Sage
Nautilus,Mythic,Warden
Ornn,Dryad,Behemoth
Sylas,Umbral,Bruiser
Syndra,Fated,Arcanist
Azir,Dryad,Invoker
Hwei,Mythic,Artist
Irelia,Storyweaver,Duelist
Lissandra,Porcelain,Arcanist
Rakan,Dragonlord,Lovers,Altruist
Sett,Fated,Umbral,Warden
Udyr,Inkshadow,Behemoth,Spirit Walker
Wukong,Heavenly,Great,Sage
Xayah,Dragonlord,Lovers,Trickshot
